               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,               0.047,            0.015436,                   0,             0.65732,             0.47957,             0.54428,             0.22196,            0.051293,            0.022863,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.046842,            0.014484,                   0,             0.50638,             0.59677,             0.52455,             0.22062,            0.050224,            0.023666,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.047803,            0.016263,                   0,             0.56699,             0.52419,             0.53589,             0.20496,            0.052327,            0.024832,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.047526,            0.015419,                   0,             0.49629,             0.48387,              0.4507,             0.16095,            0.054296,            0.024965,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.047296,            0.015588,                   0,              0.5272,             0.54032,             0.51511,             0.20591,            0.051131,            0.024178,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.048063,            0.016071,                   0,             0.56652,             0.52419,             0.51944,             0.21556,            0.051856,            0.023991,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.047121,            0.016174,                   0,             0.49195,             0.58871,             0.53383,             0.21499,             0.05426,            0.023396,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.048115,            0.016943,                   0,             0.51626,             0.52419,             0.47702,             0.20585,            0.051677,            0.023701,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.04822,            0.016347,                   0,              0.5684,             0.45161,             0.44133,             0.18635,            0.053974,            0.025307,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.047094,            0.014862,                   0,             0.50634,             0.62903,              0.5305,             0.21896,            0.050391,             0.02363,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.047252,            0.015239,                   0,             0.57195,             0.53226,             0.54231,             0.20737,            0.051718,            0.022923,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.046216,             0.01505,                   0,             0.69048,             0.47581,             0.56843,             0.25647,            0.047571,            0.023228,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.046397,            0.015391,                   0,             0.50393,             0.58165,              0.5349,             0.26263,            0.047365,            0.023396,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.04626,            0.014961,                   0,             0.52389,             0.60344,              0.5746,             0.26015,            0.047237,            0.022774,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.046037,            0.016358,                   0,             0.62016,             0.58065,             0.57352,             0.25676,            0.048787,            0.023378,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.046823,            0.015575,                   0,             0.50011,             0.60484,             0.53512,             0.22054,            0.050266,             0.02343,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.048109,            0.015149,                   0,             0.57008,              0.6129,             0.52862,             0.21723,            0.052403,            0.024357,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.046602,            0.016089,                   0,             0.59019,             0.58871,             0.59118,             0.25375,            0.050067,            0.022381,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.047105,            0.016074,                   0,             0.70967,             0.46774,              0.5898,             0.26896,             0.04961,            0.022053,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.044078,            0.013856,                   0,             0.67581,             0.55479,              0.5953,             0.26748,            0.048251,            0.023256,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.043542,            0.014326,                   0,             0.58674,             0.54032,             0.53204,              0.2286,            0.050212,            0.023586,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.045103,            0.014109,                   0,              0.6224,             0.57258,             0.57183,             0.26015,            0.048866,            0.023182,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.04447,            0.013768,                   0,             0.59684,             0.58871,             0.59321,             0.28643,            0.047243,            0.022524,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.047615,            0.016035,                   0,             0.61779,             0.64516,             0.59032,             0.26076,            0.049523,            0.023464,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.044719,            0.015085,                   0,             0.59169,             0.53226,             0.55765,             0.26238,            0.048966,            0.023882,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.042878,            0.014119,                   0,             0.68569,             0.53226,             0.60092,             0.26014,            0.047766,            0.022953,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.043867,            0.014105,                   0,             0.61671,             0.59677,             0.60389,             0.27102,            0.047338,             0.02239,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.045151,            0.015815,                   0,             0.63239,             0.50806,             0.57921,             0.28544,            0.045946,            0.022825,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.045891,            0.015419,                   0,             0.59887,             0.58871,             0.60251,             0.27959,            0.047996,            0.023087,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.045357,            0.014648,                   0,             0.66937,             0.56452,             0.61404,             0.28106,            0.047982,            0.022383,                   0,              0.0067,              0.0067,              0.0067
                 102,              0.0426,            0.014635,                   0,              0.6398,             0.63029,             0.62867,             0.25758,            0.049288,            0.022167,                   0,            0.006667,            0.006667,            0.006667
                 103,             0.04255,            0.015124,                   0,             0.61212,              0.6371,             0.61367,             0.27672,            0.049022,            0.023085,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.044385,            0.014382,                   0,             0.55383,             0.60484,              0.5371,             0.24557,            0.048135,            0.022942,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.04261,            0.014483,                   0,             0.61122,             0.60484,             0.60566,             0.27608,             0.04575,            0.022102,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.042843,            0.014688,                   0,              0.5642,             0.66935,             0.61483,             0.26743,            0.048593,            0.021593,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.043223,            0.014939,                   0,             0.59631,             0.67901,             0.62622,             0.27713,            0.046916,            0.021313,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.043266,            0.014428,                   0,             0.59017,             0.63873,             0.60097,             0.28384,            0.046646,            0.021515,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.04264,               0.014,                   0,              0.7046,             0.58871,             0.65086,             0.29754,            0.045025,            0.022358,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.042035,            0.013595,                   0,             0.64647,             0.57258,              0.6268,             0.28593,            0.047171,             0.02206,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.043341,            0.014896,                   0,             0.54893,             0.66935,              0.6293,             0.29947,            0.047916,            0.021469,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.041491,            0.013948,                   0,             0.61495,             0.64397,             0.63058,              0.3001,            0.046154,             0.02198,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.043828,            0.014626,                   0,             0.61244,             0.70161,             0.65596,             0.31907,            0.046021,            0.022093,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.043525,            0.014306,                   0,             0.71339,              0.6022,               0.672,              0.3332,            0.046391,            0.021111,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.043173,            0.014522,                   0,             0.65359,             0.70161,             0.68052,             0.32512,            0.047014,            0.021755,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.043448,            0.014114,                   0,             0.60393,             0.65323,              0.6296,               0.288,             0.04995,            0.022861,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.042646,             0.01528,                   0,             0.64058,             0.68548,             0.66063,             0.30504,            0.048314,            0.022099,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.042181,            0.015431,                   0,             0.64801,             0.65323,             0.66769,             0.30539,            0.047853,              0.0215,                   0,            0.006139,            0.006139,            0.006139
                 119,              0.0409,            0.013979,                   0,             0.65717,             0.68022,              0.6645,             0.32925,            0.045709,            0.022038,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.042379,             0.01421,                   0,             0.61578,             0.59677,             0.63046,             0.31307,            0.046292,            0.022387,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.043341,            0.014611,                   0,             0.70428,             0.58065,             0.62956,             0.28784,            0.048124,            0.022459,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.043149,            0.014368,                   0,             0.66216,             0.68548,             0.67739,             0.32851,            0.046047,            0.021788,                   0,            0.006007,            0.006007,            0.006007
                 123,             0.04108,            0.013238,                   0,             0.72115,             0.62571,             0.65212,             0.31801,            0.047181,            0.023645,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.042712,            0.014004,                   0,             0.68727,             0.66935,             0.72248,              0.3532,            0.045947,            0.022404,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.042441,            0.013971,                   0,             0.65025,             0.65323,             0.69197,             0.34323,             0.04543,            0.021349,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.041629,            0.015052,                   0,             0.66111,             0.68548,             0.72913,             0.33392,              0.0455,            0.021406,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.042346,            0.014661,                   0,             0.68278,              0.6371,             0.66196,              0.3282,            0.044898,            0.022152,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.041337,            0.013599,                   0,             0.60874,             0.66129,             0.67233,             0.34231,            0.044649,            0.022299,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.042598,            0.013082,                   0,             0.66731,             0.62903,             0.65757,             0.30947,             0.04523,            0.022423,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.040314,            0.013444,                   0,             0.69386,              0.6763,             0.68949,             0.34984,            0.044973,            0.021854,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.041206,            0.013944,                   0,             0.75609,              0.6129,              0.6656,             0.33458,             0.04531,             0.02162,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.039606,            0.013012,                   0,             0.71126,             0.61585,             0.67462,             0.33107,            0.044512,            0.021872,                   0,            0.005677,            0.005677,            0.005677
                 133,             0.04034,            0.013128,                   0,             0.68606,             0.66129,             0.67694,             0.32838,            0.044374,            0.021805,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.040638,            0.013584,                   0,             0.61157,             0.67297,             0.66469,             0.30391,            0.047753,            0.021858,                   0,            0.005611,            0.005611,            0.005611
                 135,             0.04043,              0.0134,                   0,             0.65564,             0.65323,             0.66634,             0.31279,            0.046081,            0.021732,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.040705,            0.013314,                   0,             0.67273,             0.67742,             0.65168,             0.32544,            0.045688,            0.021885,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.041333,            0.013065,                   0,             0.68356,             0.70968,             0.68425,             0.35393,            0.045905,            0.020851,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.040993,            0.013888,                   0,             0.74714,              0.6371,             0.66375,             0.33412,            0.047272,             0.02227,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.040108,             0.01328,                   0,             0.76718,             0.63779,             0.68713,             0.35193,            0.046113,            0.021868,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.040532,             0.01325,                   0,             0.63997,             0.68548,             0.68484,             0.34446,            0.045148,            0.021317,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.039351,            0.013524,                   0,             0.70518,             0.71774,             0.71077,             0.34193,            0.045004,            0.021227,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.039166,            0.013383,                   0,             0.71903,             0.70168,              0.7264,             0.35312,            0.044762,            0.021332,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.040328,             0.01318,                   0,             0.62447,             0.72418,             0.69958,             0.32066,            0.045618,             0.02099,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.040162,             0.01387,                   0,             0.66109,             0.66129,             0.69463,             0.33393,            0.044181,            0.020782,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.039248,            0.013646,                   0,             0.66047,             0.67742,              0.6975,             0.34594,            0.044827,            0.021236,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.039563,            0.013039,                   0,             0.66496,             0.70968,             0.69759,             0.34291,            0.043968,            0.020889,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.039756,            0.014206,                   0,             0.75315,             0.66935,             0.70978,             0.35785,            0.043433,             0.02079,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.038852,            0.012816,                   0,             0.69415,             0.62097,             0.67516,             0.31751,            0.045787,            0.022049,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.039055,            0.014246,                   0,             0.70417,             0.69106,              0.7053,             0.36318,            0.043476,            0.021288,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.039578,            0.012808,                   0,             0.72388,             0.65323,             0.70456,             0.36072,            0.045193,            0.022264,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.040191,            0.014712,                   0,             0.68214,             0.67497,             0.69473,             0.34678,            0.046834,            0.022417,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.039877,             0.01291,                   0,             0.67774,             0.66129,             0.68002,             0.34101,            0.046615,            0.022758,                   0,            0.005017,            0.005017,            0.005017
                 153,             0.03869,            0.013057,                   0,              0.7456,             0.64516,             0.70123,             0.33647,             0.04751,            0.021885,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.039405,            0.012679,                   0,             0.73304,             0.66129,             0.71223,             0.36201,            0.045849,            0.021637,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.038108,            0.013344,                   0,             0.72872,             0.58493,             0.68626,             0.35009,            0.044385,             0.02293,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.040023,             0.01375,                   0,             0.75421,              0.6129,             0.69683,             0.35507,            0.044264,             0.02249,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.038853,            0.014075,                   0,             0.76045,             0.66129,             0.70437,             0.35707,            0.044454,            0.022858,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.039139,            0.013676,                   0,             0.77617,             0.67117,             0.70068,             0.35631,            0.043912,            0.022034,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.037733,            0.011485,                   0,             0.78234,              0.6371,             0.72169,             0.36105,             0.04427,            0.021765,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.037997,            0.012046,                   0,             0.68079,             0.73387,             0.73392,             0.37203,            0.043713,            0.021349,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.038896,            0.013614,                   0,             0.72466,             0.70041,             0.73427,             0.37144,            0.043367,            0.020765,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.038608,            0.013231,                   0,             0.78496,             0.64766,             0.72999,             0.35484,            0.044442,            0.021574,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.040686,             0.01345,                   0,               0.772,             0.62097,             0.72182,             0.36972,            0.043829,            0.021664,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.038841,            0.012881,                   0,             0.76024,             0.60484,             0.71445,              0.3598,            0.045005,            0.022121,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.038977,            0.012929,                   0,             0.78073,             0.63174,             0.69644,             0.36349,            0.044194,            0.021975,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.037136,            0.011865,                   0,             0.75865,             0.59677,             0.69692,             0.36824,            0.044503,            0.021496,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.038387,            0.013457,                   0,             0.77864,             0.59573,             0.69749,             0.37377,            0.043569,            0.022289,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.036725,            0.012708,                   0,             0.78748,             0.62097,             0.71566,             0.38037,            0.044796,            0.021351,                   0,            0.004489,            0.004489,            0.004489
                 169,             0.03702,            0.013153,                   0,              0.7084,             0.62696,             0.67723,             0.35754,            0.044967,            0.022547,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.036635,            0.013149,                   0,             0.72999,             0.64516,             0.70087,             0.36728,            0.044731,            0.022057,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.037916,            0.012533,                   0,             0.75191,             0.64516,             0.70452,             0.38125,            0.043803,            0.021633,                   0,             0.00439,             0.00439,             0.00439
